ps_code,mp_code,mp_name,boiler_name,boiler_type,creater_time,burn_ability,data_status,open_time,create_time,update_time,stopopen_time,stopopen_status,stopopen_reason,success_time
13C2D0DCE6FB5F5F1BFDA298A54CA80D,13C2D0DCE6FB5F5FB2BE3E32478A0CC5,2号炉,2号炉,炉排炉,2016-12-14,450,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
13C2D0DCE6FB5F5F1BFDA298A54CA80D,13C2D0DCE6FB5F5F7566D0CA7902390E,1号炉,1号炉,炉排炉,2016-12-14,450,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
13C2D0DCE6FB5F5F1BFDA298A54CA80D,13C2D0DCE6FB5F5FD0CBE61B525A799D,3号炉,3号炉,炉排炉,2016-12-14,450,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E076BFF41262652DA0,废气监控点1,废气监控点1,循环流化床焚烧炉,2014-01-01,300,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E03180C1A63DF2C2D9,废气监控点2,废气监控点2,炉排炉,2016-05-01,600,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
6BB71200415564E0334D3A3E262A3BED,6BB71200415564E0DCB738C0B9CCD08C,废气监控点3,废气监控点3,炉排炉,2016-05-01,600,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:05,,,,2023-04-23 00:00:00
C9D36D642BD61777BADC9129EEF404EC,C9D36D642BD6177779CF232C38655C96,废气排放口1,废气排放口1,炉排炉,2019-07-12,350,0,2020-03-23 00:00:00,2020-03-03 09:36:35,2023-04-25 12:10:05,,,,2023-04-23 00:00:00
C9D36D642BD61777BADC9129EEF404EC,C9D36D642BD6177750D076F61558A680,废气排放口2,废气排放口2,炉排炉,2019-11-19,350,0,2020-03-23 00:00:00,2020-03-03 09:36:35,2023-04-25 12:10:01,,,,2023-04-23 00:00:00
866B66AF0CE56CB24026EC197DCED05F,866B66AF0CE56CB21E2D0BBE9520AA1E,垃圾炉烟气排口,垃圾项目废气排放口,炉排炉,2018-05-23,500,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:03,,,,2023-04-23 00:00:00
8F3EAC9171F405F4E3F246DCF2B61530,8F3EAC9171F405F44B6E7B21E2016715,2号废气排放口监控点,2号炉,炉排炉,2012-11-05,350,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
8F3EAC9171F405F4E3F246DCF2B61530,8F3EAC9171F405F45D63A2AA212EA6A7,1号废气排放口监控点,1号炉,炉排炉,2012-11-05,350,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:03,,,,2023-04-23 00:00:00
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71B905E0513F3E7FBB6,3#机组废气排放口,3号焚烧炉,炉排炉,2019-11-11,600,0,2020-03-23 00:00:00,2020-03-19 09:54:10,2023-04-25 12:10:01,,,,2023-04-23 00:00:00
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BFD43A99B9D0DA825,1#机组废气排放口,1号焚烧炉,炉排炉,2015-05-12,350,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BB2A797FE3F46BDCA,2#机组废气排放口,2号焚烧炉,炉排炉,2015-05-12,350,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
F3AB5916A417E48ECB547BEEFED990BC,F3AB5916A417E48E76147A84E009E6C1,995#维皓能源1#号炉出口,维皓能源1#号炉出口,炉排炉,2022-01-24,500,0,2022-07-01 00:00:00,2022-06-29 09:35:11,2023-04-25 12:10:03,,,,2023-04-23 00:00:00
F3AB5916A417E48ECB547BEEFED990BC,F3AB5916A417E48E12A9389056C5ABEC,994#维皓能源2#号炉出口,维皓能源2#号炉出口,炉排炉,2022-01-24,500,0,2022-07-01 00:00:00,2022-06-29 09:35:11,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
47BBC3FD1296366577070DB87052D2EA,47BBC3FD129636656856552D16ACF107,1#烟囱,1#烟囱,炉排炉,2021-06-25,750,0,2021-12-15 00:00:00,2021-09-18 09:35:20,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
47BBC3FD1296366577070DB87052D2EA,47BBC3FD12963665A114FF2E73E93BC1,2#烟囱,2#烟囱,炉排炉,2021-07-28,750,0,2021-12-15 00:00:00,2021-11-08 09:35:13,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
